code,term,group
41798002,Caroline Islanders,6
42632009,Andamanese,6
4299001,Marathas,6
43056000,Cuna,6
43481000000100,Other white British ethnic group,6
43608005,Australian Aborigines,6
43890005,Dieguenos,6
443225003,Ethnicity of caregiver,6
44460002,Turks,6
445343003,Romanian,6
44881000000100,White Scottish,6
44891000000103,Other white British ethnic group,6
45465003,Basques,6
46110004,Somalis,6
46723002,Badagas,6
47250000,Bruneians,6
47327008,Mexican Indians,6
48118002,Yapese,6
48294008,Solomon Islanders,6
48375000,Seminole,6
48393004,Ethnic group finding,6
48679001,Bogobos,6
49202008,Gilbertese,6
494131000000105,White British - ethnic category 2001 census,6
494161000000100,White Irish - ethnic category 2001 census,6
503391000000104,Ethnicity of carer,6
503401000000101,Ethnicity of carer,6
503411000000104,Ethnicity of carer,6
50405005,Senoi,6
51750002,Hottentot,6
51827000,Oriental Jews,6
518701000000103,Romanian,6
518721000000107,Bulgarian,6
519681000000108,Czech,6
52075006,Congolese,6
53195006,Kirghiz,6
53460002,Serbs,6
55990000,Inca,6
56056003,Belgians,6
57405008,Chenchu,6
57539009,Navaho,6
58047002,Barundi,6
583481000000105,Other ethnic NEC (NMO),6
583491000000107,Ethnic groups (census) NOS,6
591311000000105,On examination - ethnic group NOS,6
592491000000104,Other New Zealand ethnic group,6
592501000000105,New Zealand ethnic group NOS,6
59366001,Ibo,6
59487007,Syrians,6
59597001,Marshallese,6
60157000,Ellice Islanders,6
62598008,Venezuelan Indians,6
63457007,Maya,6
6373008,Choco,6
63732001,New Hebrideans,6
63736003,Taiwanese,6
64483007,Indians (Hindi-speaking),6
64693008,Hungarian,6
651601000000100,Black Black - other,6
65776006,Blackfeet,6
661731000000107,Other Pacific ethnic group,6
