code,term,group
186048007,New Zealand ethnic group NOS,4
18664001,Xavante,4
19085009,Saipanese,4
1919006,Egyptians,4
19434008,French,4
20140003,Hawaiians,4
202171000000101,Patient ethnicity unknown,4
20291009,Lacandon,4
20449009,Javanese,4
207971000000101,Patient ethnicity unknown,4
207981000000104,Patient ethnicity unknown,4
21047009,Aleuts,4
21868006,Madagascans,4
21993009,Indonesians,4
22007004,Shoshone,4
23517005,Polynesians,4
23534002,Melanesians,4
23922002,Batutsi,4
24812003,Mongol,4
25750005,Admiralty Islanders,4
25804004,English,4
26215007,South Asian Aborigine,4
2688009,Tristan da Cunhans,4
268914005,On examination - Mongoloid origin,4
270460000,Black Caribbean/West India/Guyana,4
270461001,Black N African/Arab/Iranian,4
270462008,Black East African Asian/Indo-Caribbean,4
270463003,Caribbean I./W.I./Guyana (NMO),4
270464009,N African Arab/Iranian (NMO),4
270465005,E Afric Asian/Indo-Carib (NMO),4
270466006,Greek/Greek Cypriot (NMO),4
270467002,Turkish/Turkish Cypriot (NMO),4
2720008,Hututu,4
27301002,Paez,4
275586009,Black North African,4
275587000,Black Arab,4
275588005,Black Iranian,4
275589002,Black East African Asian,4
275590006,Black Indo-Caribbean,4
275591005,Caribbean Island (NMO),4
275592003,West Indian (NMO),4
275593008,Guyana (NMO),4
275594002,North African Arab (NMO),4
275595001,Iranian (NMO),4
275596000,East African Asian (NMO),4
275597009,Indo-Caribbean (NMO),4
275599007,Greek (NMO),4
275600005,Greek Cypriot (NMO),4
275601009,Turkish (NMO),4
275602002,Turkish Cypriot (NMO),4
27683006,Ainu,4
27700004,Iraqi,4
28409002,Spaniards,4
2852001,Bhutanese,4
28562006,Poles,4
286009,Czech,4
28796001,Siamese,4
28821007,Easter Islanders,4
29343004,Bulgarian,4
296841000000102,Yemeni,4
309643000,Black West Indian,4
