snomedcode,Ethnicity,group
275589002,Black East African Asian,4
275590006,Black Indo-Caribbean,4
315240009,Black - ethnic group,4
315279003,Other black ethnic group,4
651601000000100,Black Black - other,4
92501000000105,Other Black background - ethnic category 2001 census,4
92741000000104,Other Black or Black unspecified - ethnic category 2001 census,4
976931000000109,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census,4
977831000000102,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census,4
978271000000103,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",4
978341000000102,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",4
978361000000101,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,4
976941000000100,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census,4
978371000000108,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,4
977841000000106,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census,4
978351000000104,Caribbean or Black: Black Black Scottish or Black British - Scotland ethnic category 2011 census,4
521000220104,Black Irish (ethnic group),4
10008004,Ewe,4
11794009,Kenyans,4
13440006,Tanganyikans,4
14470009,Tutsi,4
154165009,Black African,4
154170002,Black - other African country,4
154187000,Other African countries (NMO),4
18167009,Black African,4
185993005,Black - other African country,4
186010002,Other African countries (NMO),4
1919006,Egyptians,4
21868006,Madagascans,4
23922002,Batutsi,4
2720008,Hututu,4
275586009,Black North African,4
37474002,Ghanaians,4
37843006,Fulani,4
3818007,Senegalese,4
39764005,Bantu,4
41076003,Mozambiquans,4
46110004,Somalis,4
51750002,Hottentot,4
52075006,Congolese,4
58047002,Barundi,4
59366001,Ibo,4
67439005,Msutu,4
71176007,Pygmies,4
72201005,Hobe,4
72248007,Kikuyu,4
76253004,Zulu,4
76775001,Ugandans,4
80528001,Xosa,4
8124001,West Africans,4
82174001,Shona,4
83584002,Luo,4
85371009,Bushmen,4
870448005,Khoikhoi,4
88790004,Abyssinians (Amharas),4
88839008,Sudanese,4
88934004,Nigerians,4
90822005,Gambians,4
9158000,Liberians,4
92491000000104,African - ethnic category 2001 census,4
