Code,Ethnicity
110791000000100,Black British - ethnic category 2001 census
15086000,African American
154166005,"Black, other, non-mixed origin"
154167001,Black British
154169003,Black N African &/or Arab &/or Iranian
154171003,Black E Afric Asia &/or Indo-Caribb
154172005,Black Indian sub-continent
154173000,Black - other Asian
154174006,Black Black - other
154206004,Other black ethnic group
185989004,"Black, other, non-mixed origin"
185990008,Black British
185992000,Black N African &/or Arab &/or Iranian
185994004,Black E Afric Asia &/or Indo-Caribb
185995003,Black Indian sub-continent
185996002,Black - other Asian
185997006,Black Black - other
186029008,Other black ethnic group
270461001,Black N African/Arab/Iranian
270462008,Black East African Asian/Indo-Caribbean
275587000,Black Arab
275588005,Black Iranian
275589002,Black East African Asian
275590006,Black Indo-Caribbean
315240009,Black - ethnic group
315279003,Other black ethnic group
651601000000100,Black Black - other
92501000000105,Other Black background - ethnic category 2001 census
92741000000104,Other Black or Black unspecified - ethnic category 2001 census
976931000000109,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census
977831000000102,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census
978271000000103,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census"
978341000000102,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census"
978361000000101,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census
976941000000100,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census
978371000000108,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census
977841000000106,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census
978351000000104,Caribbean or Black: Black Black Scottish or Black British - Scotland ethnic category 2011 census
521000220104,Black Irish (ethnic group)
