code,term,snomedcode
10008004,Ewe,10008004
10117001,Finns,10117001
1024701000000100,Ethnicity not stated,1024701000000100
10292001,Guamians,10292001
1036211000000100,Slovak Roma,1036211000000100
1036251000000100,Czech Roma,1036251000000100
1036281000000100,Hungarian Roma,1036281000000100
1036301000000100,Polish Roma,1036301000000100
1036321000000100,Romanian Roma,1036321000000100
1036341000000100,Roma,1036341000000100
1036361000000100,Bulgarian Roma,1036361000000100
10432001,Onge,10432001
107691000000105,Caribbean - ethnic category 2001 census,107691000000105
108342005,South Asian AND/OR Australian aborigine,108342005
110401000000103,Turkish - ethnic category 2001 census,110401000000103
110751000000108,Indian or British Indian - ethnic category 2001 census,110751000000108
110761000000106,English - ethnic category 2001 census,110761000000106
110771000000104,Black and White - ethnic category 2001 census,110771000000104
110781000000102,Sinhalese - ethnic category 2001 census,110781000000102
110791000000100,Black British - ethnic category 2001 census,110791000000100
110831000000107,Hindu - ethnic category 2001 census,110831000000107
113169009,Armenians,113169009
113170005,Aymara,113170005
113171009,Coushatta,113171009
11794009,Kenyans,11794009
12556008,Tamils,12556008
13233008,Flathead,13233008
1340002,Malays,1340002
13440006,Tanganyikans,13440006
139955009,O/E - ethnic group,139955009
139960008,O/E - ethnic group NOS,139960008
14045001,Caucasian,14045001
14176005,Danes,14176005
14470009,Tutsi,14470009
1451003,Greeks,1451003
14999008,Welsh,14999008
15086000,African American,15086000
154159009,Ethnic groups (census),154159009
154160004,White - ethnic group,154160004
154161000,White British,154161000
154162007,White Irish,154162007
154163002,Other white ethnic group,154163002
154164008,Black Caribbean,154164008
154165009,Black African,154165009
154166005,"Black, other, non-mixed origin",154166005
154167001,Black British,154167001
154168006,Black Caribbean &/or W.I. &/or Guyana,154168006
154169003,Black N African &/or Arab &/or Iranian,154169003
154170002,Black - other African country,154170002
154171003,Black E Afric Asia &/or Indo-Caribb,154171003
154172005,Black Indian sub-continent,154172005
154173000,Black - other Asian,154173000
154174006,Black Black - other,154174006
154175007,"Black - other, mixed",154175007
154176008,Other Black - Black/White orig,154176008
154177004,Other Black - Black/Asian orig,154177004
154178009,Indian,154178009
154179001,Pakistani,154179001
154180003,Bangladeshi,154180003
154181004,Chinese,154181004
154182006,Other ethnic non-mixed (NMO),154182006
154183001,Brit. ethnic minor. spec.(NMO),154183001
154184007,Brit. ethnic minor. unsp (NMO),154184007
154185008,Caribbean I. &/or W.I. &/or Guyana (NMO),154185008
154186009,N African Arab &/or Iranian (NMO),154186009
154187000,Other African countries (NMO),154187000
154188005,E Afric Asian &/or Indo-Carib (NMO),154188005
154189002,Indian sub-continent (NMO),154189002
154190006,Other Asian (NMO),154190006
154191005,Irish (NMO),154191005
154192003,Greek &/or Greek Cypriot (NMO),154192003
154193008,Turkish &/or Turkish Cypriot (NMO),154193008
154194002,Other European (NMO),154194002
154195001,Other ethnic NEC (NMO),154195001
154196000,"Other ethnic, mixed origin",154196000
154197009,"Other ethnic, Black/White orig",154197009
154198004,"Other ethnic, Asian/White orig",154198004
154199007,"Other ethnic, mixed white orig",154199007
154200005,"Other ethnic, other mixed orig",154200005
154201009,Black Caribbean and White,154201009
154202002,Black African and White,154202002
154203007,Vietnamese,154203007
154204001,Ethnic group not given - patient refused,154204001
154205000,Ethnic group not recorded,154205000
154206004,Other black ethnic group,154206004
154207008,Other Asian ethnic group,154207008
154208003,Irish traveller,154208003
154209006,Other ethnic group,154209006
154210001,Ethnic groups (census) NOS,154210001
154211002,Ethnicity and other related nationality data,154211002
154212009,New Zealand ethnic groups,154212009
154213004,New Zealand European,154213004
154214005,Other European in New Zealand,154214005
154215006,New Zealand Maori,154215006
154216007,Samoan,154216007
154217003,Cook Island Maori,154217003
154218008,Tongan,154218008
154219000,Niuean,154219000
154220006,Tokelauan,154220006
154221005,Fijian,154221005
154222003,Other Pacific ethnic group,154222003
154223008,South East Asian,154223008
154224002,Chinese,154224002
154225001,Indian,154225001
154226000,Other Asian,154226000
154227009,Other New Zealand ethnic group,154227009
154229007,New Zealand ethnic group NOS,154229007
15801006,Kapingas,15801006
160531006,Race: West indian,160531006
162730000,On examination - ethnic group,162730000
162731001,On examination - Europeanoid,162731001
