Code,Ethnicity
154180003,Bangladeshi
186003008,Bangladeshi
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census
976831000000100,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census
977731000000108,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census
978171000000105,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census"
976841000000109,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census
977741000000104,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census
978181000000107,Asian or Asian Scottish or Asian British: Bangladeshi Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census
