Code,Description
134B.,Race: Caucasian
Y9930,Race - British
9S1..,White - ethnic group
XaFwD,White British
XaIui,Other white British ethnic group
XaJQv,British or mixed British - ethnic category 2001 census
XaQEa,White British - ethnic category 2001 census
XactH,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census
