code,term
134C.,Race: Arab
134D.,Race: Chinese
134E.,Race: Japanese
134F.,Race: Korean
134G.,Race: Oriental
9SA..,Other ethnic non-mixed (NMO)
9SA1.,Brit. ethnic minor. spec.(NMO)
9SA2.,Brit. ethnic minor. unsp (NMO)
9SA4.,N African Arab &/or Iranian (NMO)
9SAD.,Other ethnic NEC (NMO)
9T1..,New Zealand ethnic groups
9T12.,Other European in New Zealand
9T13.,New Zealand Maori
9T14.,Samoan
9T15.,Cook Island Maori
9T16.,Tongan
9T17.,Niuean
9T18.,Tokelauan
9T19.,Fijian
9T1A.,Other Pacific ethnic group
9T1C.,Chinese
9T1Y.,Other New Zealand ethnic group
9T1Z.,New Zealand ethnic group NOS
X76Gp,Race: Other
XE2Nx,N African Arab/Iranian (NMO)
XM1SB,North African Arab (NMO)
XM1SC,Iranian (NMO)
XaE4A,Vietnamese
XaFx1,Other ethnic group
XaJR9,Chinese - ethnic category 2001 census
XaJRA,Other - ethnic category 2001 census
XaJRc,Vietnamese - ethnic category 2001 census
XaJRd,Japanese - ethnic category 2001 census
XaJRe,Filipino - ethnic category 2001 census
XaJRf,Malaysian - ethnic category 2001 census
XaJSR,Jewish - ethnic category 2001 census
XaJSS,Arab - ethnic category 2001 census
XaJSU,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens"
XaJSV,Israeli - ethnic category 2001 census
XaJSW,Iranian - ethnic category 2001 census
XaJSX,Kurdish - ethnic category 2001 census
XaJSY,Moroccan - ethnic category 2001 census
XaJSZ,Latin American - ethnic category 2001 census
XaJSa,South and Central American - ethnic category 2001 census
XaJSb,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census
XaJSc,Buddhist - ethnic category 2001 census
XaJSd,Hindu - ethnic category 2001 census
XaJSe,Muslim - ethnic category 2001 census
XaJSf,Sikh - ethnic category 2001 census
XaJSg,Any other group - ethnic category 2001 census
XaN9x,Yemeni
Xactj,Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census
Xacto,Other ethnic group: Arab - Eng+Wales ethnic cat 2011 census
Xactp,Other ethnic: any other grp - Eng+Wales eth cat 2011 census
Xacuk,Asian/Asian British: Chinese - NI ethnic cat 2011 census
Xacup,Other ethnic group: Arab - NI ethnic category 2011 census
Xacuq,Other ethnic group: any other grp- NI ethnic cat 2011 census
XacvF,Asian: Chinese - Scotland ethnic category 2011 census
Xacvb,Other ethnic grp: Arab/Arab Scot/Arab British- Scotland 2011
Xacvc,Other ethnic grp: any other ethnic grp- Scotland 2011 census
