snomedcode,Ethnicity,group
977441000000109,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census,8
154202002,Black African and White,8
186025002,Black African and White,8
315635008,Black African and White,8
413466005,Afro-Caucasian,8
92431000000100,White and Black African - ethnic category 2001 census,8
976731000000106,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census,8
976741000000102,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census,8
977411000000108,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census,8
977421000000102,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census,8
154201009,Black Caribbean and White,8
186020007,"Other ethnic, Black/White origin",8
186024003,Black Caribbean and White,8
315634007,Black Caribbean and White,8
92421000000102,White and Black Caribbean - ethnic category 2001 census,8
976711000000103,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census,8
976721000000109,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census,8
977391000000108,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census,8
977401000000106,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census,8
10117001,Finns,8
1036211000000103,Slovak Roma,8
1036251000000104,Czech Roma,8
1036281000000105,Hungarian Roma,8
1036301000000106,Polish Roma,8
1036321000000102,Romanian Roma,8
1036341000000109,Roma,8
1036361000000105,Bulgarian Roma,8
110401000000103,Turkish - ethnic category 2001 census,8
113169009,Armenians,8
14045001,Caucasian,8
14176005,Danes,8
1451003,Greeks,8
154163002,Other white ethnic group,8
154192003,Greek &/or Greek Cypriot (NMO),8
154193008,Turkish &/or Turkish Cypriot (NMO),8
154194002,Other European (NMO),8
154208003,Irish traveller,8
154213004,New Zealand European,8
154214005,Other European in New Zealand,8
17095009,Norwegians,8
18583004,Estonians,8
185984009,White - ethnic group,8
185987002,Other white ethnic group,8
186015007,Greek &/or Greek Cypriot (NMO),8
186016008,Turkish &/or Turkish Cypriot (NMO),8
186017004,Other European (NMO),8
186031004,Irish traveller,8
186036009,New Zealand European,8
19434008,French,8
270466006,Greek/Greek Cypriot (NMO),8
270467002,Turkish/Turkish Cypriot (NMO),8
275599007,Greek (NMO),8
275600005,Greek Cypriot (NMO),8
275601009,Turkish (NMO),8
275602002,Turkish Cypriot (NMO),8
28409002,Spaniards,8
28562006,Poles,8
286009,Czech,8
29343004,Bulgarian,8
315238004,Other white ethnic group,8
