snomedcode,snomedcode_count,term,include,RM_16category,RM_5 category,notes,,2021 Census Categories,,,,,,,,,,,,,
268914005,5,On examination - Mongoloid origin,1,remove,,,,,,,,,,,,,,,,,
7.28721E+14,5,Carer from Black and minority ethnic group,1,remove,,,,,,,,,,,,,,,,,
162734009,4,On examination - Australoid,1,remove,,,,,,,,,,,,,,,,,
10008004,0,Ewe,0,,,,,,,,,,,,,,,,,,
10117001,0,Finns,0,,,,,,,,,,,,,,,,,,
1.0247E+15,0,Ethnicity not stated,0,,,,,,,,,,,,,,,,,,
10292001,0,Guamians,0,,,,,,,,,,,,,,,,,,
1.03621E+15,0,Slovak Roma,0,,,,,,,,,,,,,,,,,,
1.03625E+15,0,Czech Roma,0,,,,,,,,,,,,,,,,,,
1.03628E+15,0,Hungarian Roma,0,,,,,,,,,,,,,,,,,,
1.0363E+15,0,Polish Roma,0,,,,,,,,,,,,,,,,,,
1.03632E+15,0,Romanian Roma,0,,,,,,,,,,,,,,,,,,
1.03634E+15,0,Roma,0,,,,,,,,,,,,,,,,,,
1.03636E+15,0,Bulgarian Roma,0,,,,,,,,,,,,,,,,,,
10432001,0,Onge,0,,,,,,,,,,,,,,,,,,
108342005,0,South Asian AND/OR Australian aborigine,0,,,,,,,,,,,,,,,,,,
113169009,0,Armenians,0,,,,,,,,,,,,,,,,,,
113170005,0,Aymara,0,,,,,,,,,,,,,,,,,,
113171009,0,Coushatta,0,,,,,,,,,,,,,,,,,,
11794009,0,Kenyans,0,,,,,,,,,,,,,,,,,,
12556008,0,Tamils,0,,,,,,,,,,,,,,,,,,
13233008,0,Flathead,0,,,,,,,,,,,,,,,,,,
1340002,0,Malays,0,,,,,,,,,,,,,,,,,,
13440006,0,Tanganyikans,0,,,,,,,,,,,,,,,,,,
139955009,0,O/E - ethnic group,0,,,,,,,,,,,,,,,,,,
139960008,0,O/E - ethnic group NOS,0,,,,,,,,,,,,,,,,,,
14045001,0,Caucasian,0,,,,,,,,,,,,,,,,,,
14176005,0,Danes,0,,,,,,,,,,,,,,,,,,
14470009,0,Tutsi,0,,,,,,,,,,,,,,,,,,
1451003,0,Greeks,0,,,,,,,,,,,,,,,,,,
14999008,0,Welsh,0,,,,,,,,,,,,,,,,,,
15086000,0,African American,0,,,,,,,,,,,,,,,,,,
154159009,0,Ethnic groups (census),0,,,,,,,,,,,,,,,,,,
154160004,0,White - ethnic group,0,,,,,,,,,,,,,,,,,,
154161000,0,White British,0,,,,,,,,,,,,,,,,,,
154162007,0,White Irish,0,,,,,,,,,,,,,,,,,,
154163002,0,Other white ethnic group,0,,,,,,,,,,,,,,,,,,
154164008,0,Black Caribbean,0,,,,,,,,,,,,,,,,,,
154165009,0,Black African,0,,,,,,,,,,,,,,,,,,
154166005,0,"Black, other, non-mixed origin",0,,,,,,,,,,,,,,,,,,
154167001,0,Black British,0,,,,,,,,,,,,,,,,,,
154168006,0,Black Caribbean &/or W.I. &/or Guyana,0,,,,,,,,,,,,,,,,,,
154169003,0,Black N African &/or Arab &/or Iranian,0,,,,,,,,,,,,,,,,,,
154170002,0,Black - other African country,0,,,,,,,,,,,,,,,,,,
154171003,0,Black E Afric Asia &/or Indo-Caribb,0,,,,,,,,,,,,,,,,,,
154172005,0,Black Indian sub-continent,0,,,,,,,,,,,,,,,,,,
154173000,0,Black - other Asian,0,,,,,,,,,,,,,,,,,,
154174006,0,Black Black - other,0,,,,,,,,,,,,,,,,,,
154175007,0,"Black - other, mixed",0,,,,,,,,,,,,,,,,,,
154176008,0,Other Black - Black/White orig,0,,,,,,,,,,,,,,,,,,
154177004,0,Other Black - Black/Asian orig,0,,,,,,,,,,,,,,,,,,
154178009,0,Indian,0,,,,,,,,,,,,,,,,,,
154179001,0,Pakistani,0,,,,,,,,,,,,,,,,,,
154180003,0,Bangladeshi,0,,,,,,,,,,,,,,,,,,
154181004,0,Chinese,0,,,,,,,,,,,,,,,,,,
154182006,0,Other ethnic non-mixed (NMO),0,,,,,,,,,,,,,,,,,,
154183001,0,Brit. ethnic minor. spec.(NMO),0,,,,,,,,,,,,,,,,,,
154184007,0,Brit. ethnic minor. unsp (NMO),0,,,,,,,,,,,,,,,,,,
154185008,0,Caribbean I. &/or W.I. &/or Guyana (NMO),0,,,,,,,,,,,,,,,,,,
154186009,0,N African Arab &/or Iranian (NMO),0,,,,,,,,,,,,,,,,,,
154187000,0,Other African countries (NMO),0,,,,,,,,,,,,,,,,,,
154188005,0,E Afric Asian &/or Indo-Carib (NMO),0,,,,,,,,,,,,,,,,,,
154189002,0,Indian sub-continent (NMO),0,,,,,,,,,,,,,,,,,,
154190006,0,Other Asian (NMO),0,,,,,,,,,,,,,,,,,,
154191005,0,Irish (NMO),0,,,,,,,,,,,,,,,,,,
154192003,0,Greek &/or Greek Cypriot (NMO),0,,,,,,,,,,,,,,,,,,
154193008,0,Turkish &/or Turkish Cypriot (NMO),0,,,,,,,,,,,,,,,,,,
154194002,0,Other European (NMO),0,,,,,,,,,,,,,,,,,,
154195001,0,Other ethnic NEC (NMO),0,,,,,,,,,,,,,,,,,,
154196000,0,"Other ethnic, mixed origin",0,,,,,,,,,,,,,,,,,,
154197009,0,"Other ethnic, Black/White orig",0,,,,,,,,,,,,,,,,,,
154198004,0,"Other ethnic, Asian/White orig",0,,,,,,,,,,,,,,,,,,
154199007,0,"Other ethnic, mixed white orig",0,,,,,,,,,,,,,,,,,,
154200005,0,"Other ethnic, other mixed orig",0,,,,,,,,,,,,,,,,,,
154201009,0,Black Caribbean and White,0,,,,,,,,,,,,,,,,,,
154202002,0,Black African and White,0,,,,,,,,,,,,,,,,,,
154203007,0,Vietnamese,0,,,,,,,,,,,,,,,,,,
154204001,0,Ethnic group not given - patient refused,0,,,,,,,,,,,,,,,,,,
154205000,0,Ethnic group not recorded,0,,,,,,,,,,,,,,,,,,
154206004,0,Other black ethnic group,0,,,,,,,,,,,,,,,,,,
154207008,0,Other Asian ethnic group,0,,,,,,,,,,,,,,,,,,
154208003,0,Irish traveller,0,,,,,,,,,,,,,,,,,,
154209006,0,Other ethnic group,0,,,,,,,,,,,,,,,,,,
154210001,0,Ethnic groups (census) NOS,0,,,,,,,,,,,,,,,,,,
154211002,0,Ethnicity and other related nationality data,0,,,,,,,,,,,,,,,,,,
154212009,0,New Zealand ethnic groups,0,,,,,,,,,,,,,,,,,,
154213004,0,New Zealand European,0,,,,,,,,,,,,,,,,,,
154214005,0,Other European in New Zealand,0,,,,,,,,,,,,,,,,,,
154215006,0,New Zealand Maori,0,,,,,,,,,,,,,,,,,,
154216007,0,Samoan,0,,,,,,,,,,,,,,,,,,
154217003,0,Cook Island Maori,0,,,,,,,,,,,,,,,,,,
154218008,0,Tongan,0,,,,,,,,,,,,,,,,,,
154219000,0,Niuean,0,,,,,,,,,,,,,,,,,,
154220006,0,Tokelauan,0,,,,,,,,,,,,,,,,,,
154221005,0,Fijian,0,,,,,,,,,,,,,,,,,,
154222003,0,Other Pacific ethnic group,0,,,,,,,,,,,,,,,,,,
154223008,0,South East Asian,0,,,,,,,,,,,,,,,,,,
154224002,0,Chinese,0,,,,,,,,,,,,,,,,,,
154225001,0,Indian,0,,,,,,,,,,,,,,,,,,
154226000,0,Other Asian,0,,,,,,,,,,,,,,,,,,
154227009,0,Other New Zealand ethnic group,0,,,,,,,,,,,,,,,,,,
154229007,0,New Zealand ethnic group NOS,0,,,,,,,,,,,,,,,,,,
15801006,0,Kapingas,0,,,,,,,,,,,,,,,,,,
162735005,0,On examination - ethnic group NOS,0,,,,,,,,,,,,,,,,,,
17095009,0,Norwegians,0,,,,,,,,,,,,,,,,,,
17789004,0,Papuans,0,,,,,,,,,,,,,,,,,,
18575005,0,Oceanian,0,,,,,,,,,,,,,,,,,,
18583004,0,Estonians,0,,,,,,,,,,,,,,,,,,
185983003,0,Ethnic group (1991 census) (United Kingdom),0,,,,,,,,,,,,,,,,,,
185985005,0,White British,0,,,,,,,,,,,,,,,,,,
185986006,0,White Irish,0,,,,,,,,,,,,,,,,,,
185987002,0,Other white ethnic group,0,,,,,,,,,,,,,,,,,,
185991007,0,Black Caribbean &/or W.I. &/or Guyana,0,,,,,,,,,,,,,,,,,,
185992000,0,Black N African &/or Arab &/or Iranian,0,,,,,,,,,,,,,,,,,,
185994004,0,Black E Afric Asia &/or Indo-Caribb,0,,,,,,,,,,,,,,,,,,
185997006,0,Black Black - other,0,,,,,,,,,,,,,,,,,,
186001005,0,Indian (East Indian),0,,,,,,,,,,,,,,,,,,
186004002,0,Chinese,0,,,,,,,,,,,,,,,,,,
186008004,0,Caribbean I. &/or W.I. &/or Guyana (NMO),0,,,,,,,,,,,,,,,,,,
186009007,0,N African Arab &/or Iranian (NMO),0,,,,,,,,,,,,,,,,,,
186011003,0,E Afric Asian &/or Indo-Carib (NMO),0,,,,,,,,,,,,,,,,,,
186015007,0,Greek &/or Greek Cypriot (NMO),0,,,,,,,,,,,,,,,,,,
186016008,0,Turkish &/or Turkish Cypriot (NMO),0,,,,,,,,,,,,,,,,,,
186018009,0,Other ethnic NEC (NMO),0,,,,,,,,,,,,,,,,,,
186024003,0,Black Caribbean and White,0,,,,,,,,,,,,,,,,,,
186025002,0,Black African and White,0,,,,,,,,,,,,,,,,,,
186026001,0,Vietnamese,0,,,,,,,,,,,,,,,,,,
186027005,0,Ethnic group not given - patient refused,0,,,,,,,,,,,,,,,,,,
186028000,0,Ethnic group not recorded,0,,,,,,,,,,,,,,,,,,
186029008,0,Other black ethnic group,0,,,,,,,,,,,,,,,,,,
186030003,0,Other Asian ethnic group,0,,,,,,,,,,,,,,,,,,
186031004,0,Irish traveller,0,,,,,,,,,,,,,,,,,,
186032006,0,Other ethnic group,0,,,,,,,,,,,,,,,,,,
186033001,0,Ethnic groups (census) NOS,0,,,,,,,,,,,,,,,,,,
186043003,0,Other Pacific ethnic group,0,,,,,,,,,,,,,,,,,,
186045005,0,Indian,0,,,,,,,,,,,,,,,,,,
186046006,0,Other Asian,0,,,,,,,,,,,,,,,,,,
186047002,0,Other New Zealand ethnic group,0,,,,,,,,,,,,,,,,,,
186048007,0,New Zealand ethnic group NOS,0,,,,,,,,,,,,,,,,,,
18664001,0,Xavante,0,,,,,,,,,,,,,,,,,,
19085009,0,Saipanese,0,,,,,,,,,,,,,,,,,,
1919006,0,Egyptians,0,,,,,,,,,,,,,,,,,,
19434008,0,French,0,,,,,,,,,,,,,,,,,,
20140003,0,Hawaiians,0,,,,,,,,,,,,,,,,,,
20291009,0,Lacandon,0,,,,,,,,,,,,,,,,,,
20449009,0,Javanese,0,,,,,,,,,,,,,,,,,,
2.07971E+14,0,Patient ethnicity unknown,0,,,,,,,,,,,,,,,,,,
2.07981E+14,0,Patient ethnicity unknown,0,,,,,,,,,,,,,,,,,,
21047009,0,Aleuts,0,,,,,,,,,,,,,,,,,,
21868006,0,Madagascans,0,,,,,,,,,,,,,,,,,,
21993009,0,Indonesians,0,,,,,,,,,,,,,,,,,,
22007004,0,Shoshone,0,,,,,,,,,,,,,,,,,,
23517005,0,Polynesians,0,,,,,,,,,,,,,,,,,,
23534002,0,Melanesians,0,,,,,,,,,,,,,,,,,,
23922002,0,Batutsi,0,,,,,,,,,,,,,,,,,,
24812003,0,Mongol,0,,,,,,,,,,,,,,,,,,
25750005,0,Admiralty Islanders,0,,,,,,,,,,,,,,,,,,
25804004,0,English,0,,,,,,,,,,,,,,,,,,
26215007,0,South Asian Aborigine,0,,,,,,,,,,,,,,,,,,
2688009,0,Tristan da Cunhans,0,,,,,,,,,,,,,,,,,,
2720008,0,Hututu,0,,,,,,,,,,,,,,,,,,
27301002,0,Paez,0,,,,,,,,,,,,,,,,,,
27683006,0,Ainu,0,,,,,,,,,,,,,,,,,,
27700004,0,Iraqi,0,,,,,,,,,,,,,,,,,,
28409002,0,Spaniards,0,,,,,,,,,,,,,,,,,,
2852001,0,Bhutanese,0,,,,,,,,,,,,,,,,,,
28562006,0,Poles,0,,,,,,,,,,,,,,,,,,
28796001,0,Siamese,0,,,,,,,,,,,,,,,,,,
28821007,0,Easter Islanders,0,,,,,,,,,,,,,,,,,,
312860002,0,Ethnic group not given - patient refused,0,,,,,,,,,,,,,,,,,,
315238004,0,Other white ethnic group,0,,,,,,,,,,,,,,,,,,
315282008,0,Other ethnic group,0,,,,,,,,,,,,,,,,,,
31637002,0,Italians,0,,,,,,,,,,,,,,,,,,
32045009,0,Georgians,0,,,,,,,,,,,,,,,,,,
32513008,0,Dyaks,0,,,,,,,,,,,,,,,,,,
32873005,0,Bloods,0,,,,,,,,,,,,,,,,,,
33182009,0,Trukese,0,,,,,,,,,,,,,,,,,,
3353005,0,Pueblo,0,,,,,,,,,,,,,,,,,,
34334001,0,New Caledonians,0,,,,,,,,,,,,,,,,,,
35007000,0,Utes,0,,,,,,,,,,,,,,,,,,
3.54441E+14,0,Ethnicity - National Public Health Classification,0,,,,,,,,,,,,,,,,,,
364699009,0,Ethnic group,0,,,,,,,,,,,,,,,,,,
365455004,0,Ethnic groups (1991 census) (United Kingdom),0,,,,,,,,,,,,,,,,,,
365456003,0,Finding of ethnicity / related nationality data,0,,,,,,,,,,,,,,,,,,
367505005,0,Caucasian (living organism),0,,,,,,,,,,,,,,,,,,
3698008,0,Micronesians,0,,,,,,,,,,,,,,,,,,
37474002,0,Ghanaians,0,,,,,,,,,,,,,,,,,,
37843006,0,Fulani,0,,,,,,,,,,,,,,,,,,
38144004,0,Athabascans,0,,,,,,,,,,,,,,,,,,
3818007,0,Senegalese,0,,,,,,,,,,,,,,,,,,
38750003,0,Bororo,0,,,,,,,,,,,,,,,,,,
39007007,0,Black Jews,0,,,,,,,,,,,,,,,,,,
393199009,0,Gypsies,0,,,,,,,,,,,,,,,,,,
394149000,0,Gypsies,0,,,,,,,,,,,,,,,,,,
394635008,0,Gypsies,0,,,,,,,,,,,,,,,,,,
397607002,0,"Perioperative plan of care consistent with patient value system, lifestyle, ethnicity, and culture",0,,,,,,,,,,,,,,,,,,
39764005,0,Bantu,0,,,,,,,,,,,,,,,,,,
398089004,0,Ethnic background,0,,,,,,,,,,,,,,,,,,
40165009,0,Buriats,0,,,,,,,,,,,,,,,,,,
4073004,0,Palauans,0,,,,,,,,,,,,,,,,,,
41076003,0,Mozambiquans,0,,,,,,,,,,,,,,,,,,
4.1121E+13,0,Other white British ethnic group,0,,,,,,,,,,,,,,,,,,
413569000,0,Arab,0,,,,,,,,,,,,,,,,,,
414152003,0,European,0,,,,,,,,,,,,,,,,,,
414661004,0,Melanesian,0,,,,,,,,,,,,,,,,,,
41798002,0,Caroline Islanders,0,,,,,,,,,,,,,,,,,,
42632009,0,Andamanese,0,,,,,,,,,,,,,,,,,,
4299001,0,Marathas,0,,,,,,,,,,,,,,,,,,
43056000,0,Cuna,0,,,,,,,,,,,,,,,,,,
4.3481E+13,0,Other white British ethnic group,0,,,,,,,,,,,,,,,,,,
43608005,0,Australian Aborigines,0,,,,,,,,,,,,,,,,,,
43890005,0,Dieguenos,0,,,,,,,,,,,,,,,,,,
44460002,0,Turks,0,,,,,,,,,,,,,,,,,,
4.4881E+13,0,White Scottish,0,,,,,,,,,,,,,,,,,,
4.4891E+13,0,Other white British ethnic group,0,,,,,,,,,,,,,,,,,,
45465003,0,Basques,0,,,,,,,,,,,,,,,,,,
46110004,0,Somalis,0,,,,,,,,,,,,,,,,,,
46723002,0,Badagas,0,,,,,,,,,,,,,,,,,,
47250000,0,Bruneians,0,,,,,,,,,,,,,,,,,,
47327008,0,Mexican Indians,0,,,,,,,,,,,,,,,,,,
48118002,0,Yapese,0,,,,,,,,,,,,,,,,,,
48294008,0,Solomon Islanders,0,,,,,,,,,,,,,,,,,,
48375000,0,Seminole,0,,,,,,,,,,,,,,,,,,
48393004,0,Ethnic group finding,0,,,,,,,,,,,,,,,,,,
48679001,0,Bogobos,0,,,,,,,,,,,,,,,,,,
49202008,0,Gilbertese,0,,,,,,,,,,,,,,,,,,
5.03391E+14,0,Ethnicity of carer,0,,,,,,,,,,,,,,,,,,
5.03401E+14,0,Ethnicity of carer ,0,,,,,,,,,,,,,,,,,,
5.03411E+14,0,Ethnicity of carer ,0,,,,,,,,,,,,,,,,,,
50405005,0,Senoi,0,,,,,,,,,,,,,,,,,,
51750002,0,Hottentot,0,,,,,,,,,,,,,,,,,,
51827000,0,Oriental Jews,0,,,,,,,,,,,,,,,,,,
5.18701E+14,0,Romanian,0,,,,,,,,,,,,,,,,,,
5.18721E+14,0,Bulgarian,0,,,,,,,,,,,,,,,,,,
5.19681E+14,0,Czech,0,,,,,,,,,,,,,,,,,,
52075006,0,Congolese,0,,,,,,,,,,,,,,,,,,
53195006,0,Kirghiz,0,,,,,,,,,,,,,,,,,,
53460002,0,Serbs,0,,,,,,,,,,,,,,,,,,
55990000,0,Inca,0,,,,,,,,,,,,,,,,,,
56056003,0,Belgians,0,,,,,,,,,,,,,,,,,,
57405008,0,Chenchu,0,,,,,,,,,,,,,,,,,,
57539009,0,Navaho,0,,,,,,,,,,,,,,,,,,
58047002,0,Barundi,0,,,,,,,,,,,,,,,,,,
5.83481E+14,0,Other ethnic NEC (NMO),0,,,,,,,,,,,,,,,,,,
5.83491E+14,0,Ethnic groups (census) NOS,0,,,,,,,,,,,,,,,,,,
5.91311E+14,0,On examination - ethnic group NOS,0,,,,,,,,,,,,,,,,,,
5.92491E+14,0,Other New Zealand ethnic group,0,,,,,,,,,,,,,,,,,,
5.92501E+14,0,New Zealand ethnic group NOS,0,,,,,,,,,,,,,,,,,,
59366001,0,Ibo,0,,,,,,,,,,,,,,,,,,
59487007,0,Syrians,0,,,,,,,,,,,,,,,,,,
59597001,0,Marshallese,0,,,,,,,,,,,,,,,,,,
60157000,0,Ellice Islanders,0,,,,,,,,,,,,,,,,,,
62598008,0,Venezuelan Indians,0,,,,,,,,,,,,,,,,,,
63457007,0,Maya,0,,,,,,,,,,,,,,,,,,
6373008,0,Choco,0,,,,,,,,,,,,,,,,,,
63732001,0,New Hebrideans,0,,,,,,,,,,,,,,,,,,
63736003,0,Taiwanese,0,,,,,,,,,,,,,,,,,,
64483007,0,Indians (Hindi-speaking),0,,,,,,,,,,,,,,,,,,
64693008,0,Hungarian,0,,,,,,,,,,,,,,,,,,
6.51601E+14,0,Black Black - other,0,,,,,,,,,,,,,,,,,,
65776006,0,Blackfeet,0,,,,,,,,,,,,,,,,,,
6.61731E+14,0,Other Pacific ethnic group,0,,,,,,,,,,,,,,,,,,
6.61741E+14,0,Other Asian,0,,,,,,,,,,,,,,,,,,
66406004,0,Huasteco,0,,,,,,,,,,,,,,,,,,
6.66871E+14,0,Other ethnic group,0,,,,,,,,,,,,,,,,,,
6.68681E+14,0,Other white ethnic group,0,,,,,,,,,,,,,,,,,,
66920001,0,Amerind,0,,,,,,,,,,,,,,,,,,
67165000,0,Lapps,0,,,,,,,,,,,,,,,,,,
67439005,0,Msutu,0,,,,,,,,,,,,,,,,,,
67931002,0,Aztec,0,,,,,,,,,,,,,,,,,,
68486007,0,Austrians,0,,,,,,,,,,,,,,,,,,
69983001,0,Irani,0,,,,,,,,,,,,,,,,,,
704385002,0,Punjabi,0,,,,,,,,,,,,,,,,,,
704386001,0,Orang asli,0,,,,,,,,,,,,,,,,,,
704387005,0,Kadazan,0,,,,,,,,,,,,,,,,,,
704388000,0,Melanau,0,,,,,,,,,,,,,,,,,,
704389008,0,Murut,0,,,,,,,,,,,,,,,,,,
704390004,0,Bajau,0,,,,,,,,,,,,,,,,,,
704391000,0,Bidayuh,0,,,,,,,,,,,,,,,,,,
704392007,0,Iban,0,,,,,,,,,,,,,,,,,,
7.10011E+14,0,Slovak,0,,,,,,,,,,,,,,,,,,
71176007,0,Pygmies,0,,,,,,,,,,,,,,,,,,
7.18021E+14,0,Portuguese,0,,,,,,,,,,,,,,,,,,
71949006,0,Chippewa,0,,,,,,,,,,,,,,,,,,
72201005,0,Hobe,0,,,,,,,,,,,,,,,,,,
72248007,0,Kikuyu,0,,,,,,,,,,,,,,,,,,
72337002,0,Brazilian Indians,0,,,,,,,,,,,,,,,,,,
7.23621E+14,0,Ethnicity,0,,,,,,,,,,,,,,,,,,
72809004,0,Icelanders,0,,,,,,,,,,,,,,,,,,
7.28731E+14,0,Carer from Black and Minority Ethnic group ,0,,,,,,,,,,,,,,,,,,
733078003,0,Ukrainian,0,,,,,,,,,,,,,,,,,,
733446001,0,Canadian,0,,,,,,,,,,,,,,,,,,
735001008,0,Scandinavian,0,,,,,,,,,,,,,,,,,,
73524008,0,Caingang,0,,,,,,,,,,,,,,,,,,
73736004,0,Maori,0,,,,,,,,,,,,,,,,,,
74159009,0,Melanuans,0,,,,,,,,,,,,,,,,,,
74302004,0,Apache,0,,,,,,,,,,,,,,,,,,
75301003,0,Mapuche,0,,,,,,,,,,,,,,,,,,
75326007,0,Labradors,0,,,,,,,,,,,,,,,,,,
75704009,0,Toba,0,,,,,,,,,,,,,,,,,,
76253004,0,Zulu,0,,,,,,,,,,,,,,,,,,
76460008,0,Yanomama,0,,,,,,,,,,,,,,,,,,
76574004,0,Swiss,0,,,,,,,,,,,,,,,,,,
76768002,0,Filipinos,0,,,,,,,,,,,,,,,,,,
76775001,0,Ugandans,0,,,,,,,,,,,,,,,,,,
76883002,0,Huichol,0,,,,,,,,,,,,,,,,,,
7695005,0,Germans,0,,,,,,,,,,,,,,,,,,
77502007,0,Atacamenos,0,,,,,,,,,,,,,,,,,,
77686000,0,Kwakiutl,0,,,,,,,,,,,,,,,,,,
7.7711E+13,0,Other white British ethnic group,0,,,,,,,,,,,,,,,,,,
79434006,0,Quechua,0,,,,,,,,,,,,,,,,,,
80528001,0,Xosa,0,,,,,,,,,,,,,,,,,,
81035008,0,Pakistani (Urduspeakers),0,,,,,,,,,,,,,,,,,,
8124001,0,West Africans,0,,,,,,,,,,,,,,,,,,
81283004,0,Todas,0,,,,,,,,,,,,,,,,,,
81403004,0,Swedes,0,,,,,,,,,,,,,,,,,,
81653003,0,Pehuenches,0,,,,,,,,,,,,,,,,,,
81846005,0,Naiars,0,,,,,,,,,,,,,,,,,,
8.2121E+13,0,Other white British ethnic group,0,,,,,,,,,,,,,,,,,,
82174001,0,Shona,0,,,,,,,,,,,,,,,,,,
83365001,0,Thais,0,,,,,,,,,,,,,,,,,,
83584002,0,Luo,0,,,,,,,,,,,,,,,,,,
83939006,0,Irula,0,,,,,,,,,,,,,,,,,,
85163001,0,Russians,0,,,,,,,,,,,,,,,,,,
85371009,0,Bushmen,0,,,,,,,,,,,,,,,,,,
85515006,0,Eskimo,0,,,,,,,,,,,,,,,,,,
870448005,0,Khoikhoi,0,,,,,,,,,,,,,,,,,,
87323008,0,Nez Perc̩,0,,,,,,,,,,,,,,,,,,
88790004,0,Abyssinians (Amharas),0,,,,,,,,,,,,,,,,,,
88839008,0,Sudanese,0,,,,,,,,,,,,,,,,,,
88934004,0,Nigerians,0,,,,,,,,,,,,,,,,,,
89026003,0,Alacaluf,0,,,,,,,,,,,,,,,,,,
90348007,0,Ghashgai,0,,,,,,,,,,,,,,,,,,
90822005,0,Gambians,0,,,,,,,,,,,,,,,,,,
91066000,0,Tatars,0,,,,,,,,,,,,,,,,,,
91191002,0,Oraons,0,,,,,,,,,,,,,,,,,,
91488008,0,New Britons,0,,,,,,,,,,,,,,,,,,
9158000,0,Liberians,0,,,,,,,,,,,,,,,,,,
9533000,0,Dutch,0,,,,,,,,,,,,,,,,,,
9.76721E+14,0,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.76741E+14,0,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.76761E+14,0,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.76781E+14,0,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.76961E+14,0,Other ethnic group: Arab - England and Wales ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.76981E+14,0,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.77401E+14,0,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.77421E+14,0,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.77441E+14,0,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.77561E+14,0,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.77861E+14,0,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.77881E+14,0,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.78041E+14,0,White: any other white ethnic group - Scotland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.78061E+14,0,Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
9.78391E+14,0,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census ",0,,,,,,,,,,,,,,,,,,
9.78411E+14,0,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census ,0,,,,,,,,,,,,,,,,,,
