snomedcode,snomedcode_count,term,include,RM_16category,RM_5 category,notes,,2021 Census Categories,,,,,,,,,,,,,
9.2451E+13,110963,Other Mixed background - ethnic category 2001 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
186019001,13040,"Other ethnic, mixed origin",1,Other Mixed,2,,,,,,,,,,,,,,,,
9.4031E+13,9730,Other mixed White - ethnic category 2001 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
315239007,8125,Mixed ethnic census group,1,Other Mixed,2,,,,,,,,,,,,,,,,
9.2621E+13,6090,Other Mixed or Mixed unspecified - ethnic category 2001 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
186023009,3811,"Other ethnic, other mixed origin",1,Other Mixed,2,,,,,,,,,,,,,,,,
186022004,2796,"Other ethnic, mixed white origin",1,Other Mixed,2,,,,,,,,,,,,,,,,
9.76771E+14,1190,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
9.2581E+13,1056,Black and Asian - ethnic category 2001 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
9.77551E+14,254,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
9.2591E+13,103,Black and Chinese - ethnic category 2001 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
9.78051E+14,41,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census,1,Other Mixed,2,,,,,,,,,,,,,,,,
9.2431E+13,80823,White and Black African - ethnic category 2001 census,1,Mixed - White  African,2,,,,,,,,,,,,,,,,
315635008,7154,Black African and White,1,Mixed - White  African,2,,,,,,,,,,,,,,,,
1.10771E+14,2535,Black and White - ethnic category 2001 census,1,Mixed - White  African,2,,,,,,,,,,,,,,,,
9.76731E+14,1020,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census,1,Mixed - White  African,2,,,,,,,,,,,,,,,,
9.77411E+14,882,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census,1,Mixed - White  African,2,,,,,,,,,,,,,,,,
9.2441E+13,83655,White and Asian - ethnic category 2001 census,1,Mixed - White Asian,2,,,,,,,,,,,,,,,,
186021006,10629,"Other ethnic, Asian/White origin",1,Mixed - White Asian,2,,,,,,,,,,,,,,,,
9.2601E+13,2085,Chinese and White - ethnic category 2001 census,1,Mixed - White Asian,2,,,,,,,,,,,,,,,,
9.76751E+14,1456,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census,1,Mixed - White Asian,2,,,,,,,,,,,,,,,,
9.77431E+14,1177,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census,1,Mixed - White Asian,2,,,,,,,,,,,,,,,,
9.2421E+13,86509,White and Black Caribbean - ethnic category 2001 census,1,Mixed- White Caribbean,2,,,,,,,,,,,,,,,,
315634007,10983,Black Caribbean and White,1,Mixed- White Caribbean,2,,,,,,,,,,,,,,,,
9.76711E+14,1995,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census,1,Mixed- White Caribbean,2,,,,,,,,,,,,,,,,
9.77391E+14,1576,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census,1,Mixed- White Caribbean,2,,,,,,,,,,,,,,,,
9.2471E+13,115571,Bangladeshi or British Bangladeshi - ethnic category 2001 census,1,Bangladeshi,3,,,,,,,,,,,,,,,,
186003008,26498,Bangladeshi,1,Bangladeshi,3,,,,,,,,,,,,,,,,
9.76831E+14,1654,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,1,Bangladeshi,3,,,,,,,,,,,,,,,,
9.77731E+14,451,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,1,Bangladeshi,3,,,,,,,,,,,,,,,,
9.78171E+14,139,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census",1,Bangladeshi,3,,,,,,,,,,,,,,,,
1.10751E+14,689158,Indian or British Indian - ethnic category 2001 census,1,Indian,3,,,,,,,,,,,,,,,,
9.76791E+14,14651,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,1,Indian,3,,,,,,,,,,,,,,,,
9.2641E+13,5006,Punjabi - ethnic category 2001 census,1,Indian,3,,,,,,,,,,,,,,,,
9.77591E+14,4538,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,1,Indian,3,,,,,,,,,,,,,,,,
9.4141E+13,3035,Sikh - ethnic category 2001 census,1,Indian,3,,,,,,,,,,,,,,,,
1.10831E+14,3024,Hindu - ethnic category 2001 census,1,Indian,3,,,,,,,,,,,,,,,,
9.2671E+13,2505,Tamil - ethnic category 2001 census,1,Indian,3,,,,,,,,,,,,,,,,
9.78111E+14,1205,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",1,Indian,3,,,,,,,,,,,,,,,,
9.2481E+13,274656,Other Asian background - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
315280000,71280,Asian - ethnic group,1,Other Asian,3,,,,,,,,,,,,,,,,
315281001,52535,Other Asian ethnic group,1,Other Asian,3,,,,,,,,,,,,,,,,
8.6461E+13,25250,Sri Lankan - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
9.2701E+13,14175,Other Asian or Asian unspecified - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
9.2771E+13,13800,Filipino - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
9.2761E+13,6158,Japanese - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
186013000,5630,Other Asian (NMO),1,Other Asian,3,,,,,,,,,,,,,,,,
7.18131E+14,4766,Nepali,1,Other Asian,3,,,,,,,,,,,,,,,,
9.2751E+13,4028,Vietnamese - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
9.76871E+14,3506,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,1,Other Asian,3,,,,,,,,,,,,,,,,
9.2631E+13,3246,Mixed Asian - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
