Code,Description
9S4..,"Black, other, non-mixed origin"
9S41.,Black British
9S43.,Black N African &/or Arab &/or Iranian
9S44.,Black - other African country
9S45.,Black E Afric Asia &/or Indo-Caribb
9S46.,Black Indian sub-continent
9S47.,Black - other Asian
9S48.,Black Black - other
XE2Nu,Black N African/Arab/Iranian
XE2Nv,Black East African Asian/Indo-Caribbean
XM1S4,Black Arab
XM1S5,Black Iranian
XM1S6,Black East African Asian
XM1S7,Black Indo-Caribbean
XM1SA,Guyana (NMO)
XaBz8,Black Guyana
XaFwH,Black - ethnic group
XaFwy,Other black ethnic group
XaJR8,Other Black background - ethnic category 2001 census
XaJRX,Somali - ethnic category 2001 census
XaJRZ,Nigerian - ethnic category 2001 census
XaJRa,Black British - ethnic category 2001 census
XaJRb,Other Black or Black unspecified ethnic category 2001 census
Xactl,Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens
Xactm,Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011
Xactn,Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens
Xacum,Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census
Xacun,Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens
Xacuo,Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census
XacvZ,Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens
Xacva,Carib/Black: any other Black/Caribbean grp - Scotland 2011
