Code,Ethnicity
110761000000106,English - ethnic category 2001 census
14999008,Welsh
154160004,White - ethnic group
154161000,White British
185985005,White British
25804004,English
315236000,White British
401213008,White Scottish
401214002,Other white British ethnic group
41121000000107,Other white British ethnic group
43481000000100,Other white British ethnic group
44881000000100,White Scottish
44891000000103,Other white British ethnic group
494131000000105,White British - ethnic category 2001 census
77711000000105,Other white British ethnic group
82121000000108,Other white British ethnic group
92391000000108,British or mixed British - ethnic category 2001 census
92541000000108,Scottish - ethnic category 2001 census
92551000000106,Welsh - ethnic category 2001 census
92561000000109,Northern Irish - ethnic category 2001 census
92571000000102,Cornish - ethnic category 2001 census
976631000000101,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census
977911000000103,White: Scottish - Scotland ethnic category 2011 census
977931000000106,White: other British - Scotland ethnic category 2011 census
977921000000109,White: Scottish - Scotland ethnic category 2011 census
494151000000103,White British - ethnic category 2001 census
976641000000105,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census
977361000000102,White - Northern Ireland ethnic category 2011 census
977941000000102,White: other British - Scotland ethnic category 2011 census
494141000000101,White British - ethnic category 2001 census
