Code,Description
9SB2.,"Other ethnic, Asian/White orig"
XaJR0,White and Asian - ethnic category 2001 census
Xacte,Mixed: White+Asian - Eng+Wales ethnic category 2011 census
XacuU,Mixed: White and Asian - NI ethnic category 2011 census
