Code,Description
XaIB5,Black Caribbean and White
XaJQy,White and Black Caribbean - ethnic category 2001 census
XactL,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census
XacuS,Mixed: White and Black Caribbean - NI ethnic cat 2011 census
