Code,Description
9SA9.,Irish (NMO)
XaFwE,White Irish
XaJQw,Irish - ethnic category 2001 census
XaJSN,Mixed Irish and other White - ethnic category 2001 census
XaQEb,White Irish - ethnic category 2001 census
XactI,White: Irish - England and Wales ethnic category 2011 census
Xacuu,White: Irish - Scotland ethnic category 2011 census
