Code,Description
134L.,Race: Afro-caucasian
XaIB6,Black African and White
XaJQz,White and Black African - ethnic category 2001 census
Xactd,Mixed: White+Black African - Eng+Wales eth cat 2011 census
XacuT,Mixed: White and Black African - NI ethnic cat 2011 census
