92551000000106,Welsh - ethnic category 2001 census
92561000000109,Northern Irish - ethnic category 2001 census
92571000000102,Cornish - ethnic category 2001 census
92581000000100,Black and Asian - ethnic category 2001 census
92591000000103,Black and Chinese - ethnic category 2001 census
92601000000109,Chinese and White - ethnic category 2001 census
92611000000106,Asian and Chinese - ethnic category 2001 census
92621000000100,Other Mixed or Mixed unspecified - ethnic category 2001 census
92631000000103,Mixed Asian - ethnic category 2001 census
92641000000107,Punjabi - ethnic category 2001 census
92651000000105,Kashmiri - ethnic category 2001 census
92661000000108,East African Asian - ethnic category 2001 census
92671000000101,Tamil - ethnic category 2001 census
92681000000104,British Asian - ethnic category 2001 census
92691000000102,Caribbean Asian - ethnic category 2001 census
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census
92711000000100,Somali - ethnic category 2001 census
92721000000106,Mixed Black - ethnic category 2001 census
92731000000108,Nigerian - ethnic category 2001 census
92741000000104,Other Black or Black unspecified - ethnic category 2001 census
92751000000101,Vietnamese - ethnic category 2001 census
92761000000103,Japanese - ethnic category 2001 census
92771000000105,Filipino - ethnic category 2001 census
92781000000107,Malaysian - ethnic category 2001 census
92791000000109,Cypriot (part not stated) - ethnic category 2001 census
93921000000101,Ulster Scots - ethnic category 2001 census
93931000000104,Greek - ethnic category 2001 census
93941000000108,Greek Cypriot - ethnic category 2001 census
93951000000106,Turkish Cypriot - ethnic category 2001 census
93961000000109,Italian - ethnic category 2001 census
93981000000100,Kosovan - ethnic category 2001 census
93991000000103,Bosnian - ethnic category 2001 census
94001000000108,Croatian - ethnic category 2001 census
94011000000105,Other republics which made up the former Yugoslavia - ethnic category 2001 census
94021000000104,Mixed Irish and other White - ethnic category 2001 census
94031000000102,Other mixed White - ethnic category 2001 census
94041000000106,Other White European or European unspecified or Mixed European - ethnic category 2001 census
94051000000109,Other White or White unspecified - ethnic category 2001 census
94061000000107,North African - ethnic category 2001 census
94071000000100,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census"
94081000000103,Israeli - ethnic category 2001 census
94091000000101,Kurdish - ethnic category 2001 census
94101000000109,Moroccan - ethnic category 2001 census
94111000000106,Latin American - ethnic category 2001 census
94121000000100,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census
94131000000103,Buddhist - ethnic category 2001 census
94141000000107,Sikh - ethnic category 2001 census
94151000000105,Any other group - ethnic category 2001 census
9533000,Dutch
976551000000109,Ethnic category - 2011 census
976571000000100,Ethnic category - 2011 census England and Wales
976591000000101,Ethnic category - 2011 census Northern Ireland
976611000000109,Ethnic category - 2011 census Scotland
976631000000101,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census
976651000000108,White: Irish - England and Wales ethnic category 2011 census
976671000000104,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census
976691000000100,White: any other White background - England and Wales ethnic category 2011 census
976711000000103,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census
976721000000109,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census 
976731000000106,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census
976741000000102,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census 
