Code,Ethnicity
110751000000108,Indian or British Indian - ethnic category 2001 census
154178009,Indian
154189002,Indian sub-continent (NMO)
154225001,Indian
186001005,Indian (East Indian)
186012005,Indian sub-continent (NMO)
186045005,Indian
64483007,Indians (Hindi-speaking)
92641000000107,Punjabi - ethnic category 2001 census
976791000000107,Asian or Asian British: Indian - England and Wales ethnic category 2011 census
977591000000103,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census
978111000000100,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census"
977601000000109,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census
976801000000106,Asian or Asian British: Indian - England and Wales ethnic category 2011 census
978121000000106,Asian or Asian Scottish or Asian British: Indian Indian Scottish or Indian British - Scotland ethnic category 2011 census
414481008,Indian (racial group)
