snomedcode,Ethnicity,group
40165009,Buriats,6
414551003,Japanese,6
414978006,Oriental,6
42632009,Andamanese,6
4299001,Marathas,6
44460002,Turks,6
46723002,Badagas,6
47250000,Bruneians,6
48679001,Bogobos,6
53195006,Kirghiz,6
57405008,Chenchu,6
63736003,Taiwanese,6
661741000000103,Other Asian,6
67165000,Lapps,6
704385002,Punjabi,6
704386001,Orang asli,6
704387005,Kadazan,6
704388000,Melanau,6
704389008,Murut,6
704390004,Bajau,6
704391000,Bidayuh,6
704392007,Iban,6
718131000000106,Nepali,6
76768002,Filipinos,6
81283004,Todas,6
81846005,Naiars,6
83365001,Thais,6
83939006,Irula,6
86461000000107,Sri Lankan - ethnic category 2001 census,6
90348007,Ghashgai,6
91066000,Tatars,6
91191002,Oraons,6
92481000000101,Other Asian background - ethnic category 2001 census,6
92651000000105,Kashmiri - ethnic category 2001 census,6
92661000000108,East African Asian - ethnic category 2001 census,6
92671000000101,Tamil - ethnic category 2001 census,6
92681000000104,British Asian - ethnic category 2001 census,6
92691000000102,Caribbean Asian - ethnic category 2001 census,6
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census,6
92751000000101,Vietnamese - ethnic category 2001 census,6
92761000000103,Japanese - ethnic category 2001 census,6
92771000000105,Filipino - ethnic category 2001 census,6
92781000000107,Malaysian - ethnic category 2001 census,6
976871000000103,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,6
977771000000105,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,6
978211000000108,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,6
976881000000101,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,6
977781000000107,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,6
978221000000102,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,6
154180003,Bangladeshi,6
186003008,Bangladeshi,6
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census,6
976831000000100,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,6
977731000000108,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,6
978171000000105,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census",6
976841000000109,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,6
977741000000104,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census,6
978181000000107,Asian or Asian Scottish or Asian British: Bangladeshi Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census,6
154179001,Pakistani,6
186002003,Pakistani,6
