code,term,group
185986006,White Irish,3
185987002,Other white ethnic group,3
185988007,Black Caribbean,3
185989004,"Black, other, non-mixed origin",3
185990008,Black British,3
185991007,Black Caribbean &/or W.I. &/or Guyana,3
185992000,Black N African &/or Arab &/or Iranian,3
185993005,Black - other African country,3
185994004,Black E Afric Asia &/or Indo-Caribb,3
185995003,Black Indian sub-continent,3
185996002,Black - other Asian,3
185997006,Black Black - other,3
185998001,"Black - other, mixed",3
185999009,Other Black - Black/White orig,3
186000006,Other Black - Black/Asian orig,3
186001005,Indian (East Indian),3
186002003,Pakistani,3
186003008,Bangladeshi,3
186004002,Chinese,3
186005001,Other ethnic non-mixed (NMO),3
186006000,British ethnic minority specified (NMO),3
186007009,British ethnic minority unspecified (NMO),3
186008004,Caribbean I. &/or W.I. &/or Guyana (NMO),3
186009007,N African Arab &/or Iranian (NMO),3
186010002,Other African countries (NMO),3
186011003,E Afric Asian &/or Indo-Carib (NMO),3
186012005,Indian sub-continent (NMO),3
186013000,Other Asian (NMO),3
186014006,Irish (NMO),3
186015007,Greek &/or Greek Cypriot (NMO),3
186016008,Turkish &/or Turkish Cypriot (NMO),3
186017004,Other European (NMO),3
186018009,Other ethnic NEC (NMO),3
186019001,"Other ethnic, mixed origin",3
186020007,"Other ethnic, Black/White origin",3
186021006,"Other ethnic, Asian/White origin",3
186022004,"Other ethnic, mixed white origin",3
186023009,"Other ethnic, other mixed origin",3
186024003,Black Caribbean and White,3
186025002,Black African and White,3
186026001,Vietnamese,3
186027005,Ethnic group not given - patient refused,3
186028000,Ethnic group not recorded,3
186029008,Other black ethnic group,3
186030003,Other Asian ethnic group,3
186031004,Irish traveller,3
186032006,Other ethnic group,3
186033001,Ethnic groups (census) NOS,3
186034007,Ethnicity / related nationality data,3
186035008,New Zealand ethnic groups,3
186036009,New Zealand European,3
186037000,Other European in New Zealand,3
186039002,New Zealand Maori,3
186040000,Cook Island Maori,3
186041001,Niuean,3
186042008,Tokelauan,3
186043003,Other Pacific ethnic group,3
186044009,South East Asian,3
186045005,Indian,3
186046006,Other Asian,3
186047002,Other New Zealand ethnic group,3
