code,term
154183001,Brit. ethnic minor. spec.(NMO)
154184007,Brit. ethnic minor. unsp (NMO)
154185008,Caribbean I. &/or W.I. &/or Guyana (NMO)
154186009,N African Arab &/or Iranian (NMO)
154187000,Other African countries (NMO)
154188005,E Afric Asian &/or Indo-Carib (NMO)
154189002,Indian sub-continent (NMO)
154190006,Other Asian (NMO)
154191005,Irish (NMO)
154192003,Greek &/or Greek Cypriot (NMO)
154193008,Turkish &/or Turkish Cypriot (NMO)
154194002,Other European (NMO)
154195001,Other ethnic NEC (NMO)
154196000,"Other ethnic, mixed origin"
154197009,"Other ethnic, Black/White orig"
154198004,"Other ethnic, Asian/White orig"
154199007,"Other ethnic, mixed white orig"
154200005,"Other ethnic, other mixed orig"
154201009,Black Caribbean and White
154202002,Black African and White
154203007,Vietnamese
154204001,Ethnic group not given - patient refused
154205000,Ethnic group not recorded
154206004,Other black ethnic group
154207008,Other Asian ethnic group
154208003,Irish traveller
154209006,Other ethnic group
154210001,Ethnic groups (census) NOS
154211002,Ethnicity and other related nationality data
154212009,New Zealand ethnic groups
154213004,New Zealand European
154214005,Other European in New Zealand
154215006,New Zealand Maori
154216007,Samoan
154217003,Cook Island Maori
154218008,Tongan
154219000,Niuean
154220006,Tokelauan
154221005,Fijian
154222003,Other Pacific ethnic group
154223008,South East Asian
154224002,Chinese
154225001,Indian
154226000,Other Asian
154227009,Other New Zealand ethnic group
154229007,New Zealand ethnic group NOS
15801006,Kapingas
160531006,Race: West indian
162730000,On examination - ethnic group
162731001,On examination - Europeanoid
162732008,On examination - Negroid
162734009,On examination - Australoid
162735005,On examination - ethnic group NOS
17095009,Norwegians
17789004,Papuans
18167009,Black African
18575005,Oceanian
18583004,Estonians
185983003,Ethnic group (1991 census) (United Kingdom)
185984009,White - ethnic group
185985005,White British
