Code,Ethnicity
10008004,Ewe
107691000000105,Caribbean - ethnic category 2001 census
110791000000100,Black British - ethnic category 2001 census
11794009,Kenyans
13440006,Tanganyikans
14470009,Tutsi
15086000,African American
154164008,Black Caribbean
154165009,Black African
154166005,"Black, other, non-mixed origin"
154167001,Black British
154168006,Black Caribbean &/or W.I. &/or Guyana
154169003,Black N African &/or Arab &/or Iranian
154170002,Black - other African country
154171003,Black E Afric Asia &/or Indo-Caribb
154172005,Black Indian sub-continent
154173000,Black - other Asian
154174006,Black Black - other
154185008,Caribbean I. &/or W.I. &/or Guyana (NMO)
154187000,Other African countries (NMO)
154206004,Other black ethnic group
160531006,Race: West indian
18167009,Black African
185988007,Black Caribbean
185989004,"Black, other, non-mixed origin"
185990008,Black British
185991007,Black Caribbean &/or W.I. &/or Guyana
185992000,Black N African &/or Arab &/or Iranian
185993005,Black - other African country
185994004,Black E Afric Asia &/or Indo-Caribb
185995003,Black Indian sub-continent
185996002,Black - other Asian
185997006,Black Black - other
186008004,Caribbean I. &/or W.I. &/or Guyana (NMO)
186010002,Other African countries (NMO)
186029008,Other black ethnic group
1919006,Egyptians
21868006,Madagascans
23922002,Batutsi
270460000,Black Caribbean/West India/Guyana
270461001,Black N African/Arab/Iranian
270462008,Black East African Asian/Indo-Caribbean
270463003,Caribbean I./W.I./Guyana (NMO)
2720008,Hututu
275586009,Black North African
275587000,Black Arab
275588005,Black Iranian
275589002,Black East African Asian
275590006,Black Indo-Caribbean
275591005,Caribbean Island (NMO)
275592003,West Indian (NMO)
275593008,Guyana (NMO)
309643000,Black West Indian
309644006,Black Guyana
315240009,Black - ethnic group
315279003,Other black ethnic group
37474002,Ghanaians
37843006,Fulani
3818007,Senegalese
39764005,Bantu
41076003,Mozambiquans
413465009,Afro-Caribbean
46110004,Somalis
51750002,Hottentot
52075006,Congolese
58047002,Barundi
59366001,Ibo
651601000000100,Black Black - other
67439005,Msutu
71176007,Pygmies
72201005,Hobe
72248007,Kikuyu
76253004,Zulu
76775001,Ugandans
80528001,Xosa
8124001,West Africans
82174001,Shona
83584002,Luo
85371009,Bushmen
870448005,Khoikhoi
88790004,Abyssinians (Amharas)
88839008,Sudanese
88934004,Nigerians
90822005,Gambians
9158000,Liberians
92491000000104,African - ethnic category 2001 census
92501000000105,Other Black background - ethnic category 2001 census
92711000000100,Somali - ethnic category 2001 census
92731000000108,Nigerian - ethnic category 2001 census
92741000000104,Other Black or Black unspecified - ethnic category 2001 census
94061000000107,North African - ethnic category 2001 census
976891000000104,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census
976911000000101,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census
976931000000109,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census
977791000000109,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census
977811000000105,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census
977831000000102,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census
978231000000100,"African: African, African Scottish or African British - Scotland ethnic category 2011 census"
978251000000107,African: any other African - Scotland ethnic category 2011 census
978271000000103,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census"
978341000000102,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census"
978361000000101,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census
978241000000109,African: African African Scottish or African British - Scotland ethnic category 2011 census
976941000000100,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census
976901000000103,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census
976921000000107,Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding)
977801000000108,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census
977821000000104,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census
978371000000108,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census
977841000000106,Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census
978261000000105,African: any other African - Scotland ethnic category 2011 census
978351000000104,Caribbean or Black: Black Black Scottish or Black British - Scotland ethnic category 2011 census
978281000000101,Caribbean or Black: Caribbean Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census
521000220104,Black Irish (ethnic group)
