code,term,group
80528001,Xosa,8
81035008,Pakistani (Urduspeakers),8
8124001,West Africans,8
81283004,Todas,8
81403004,Swedes,8
81560001,Tongan,8
81653003,Pehuenches,8
81846005,Naiars,8
82121000000108,Other white British ethnic group,8
82174001,Shona,8
83365001,Thais,8
83584002,Luo,8
83939006,Irula,8
85163001,Russians,8
85371009,Bushmen,8
85515006,Eskimo,8
86275006,Samoan,8
86461000000107,Sri Lankan - ethnic category 2001 census,8
870448005,Khoikhoi,8
87323008,Nez Percé,8
88790004,Abyssinians (Amharas),8
88839008,Sudanese,8
88911000000101,Irish Traveller - ethnic category 2001 census,8
88921000000107,Traveller - ethnic category 2001 census,8
88931000000109,Gypsy/Romany - ethnic category 2001 census,8
88934004,Nigerians,8
88941000000100,Polish - ethnic category 2001 census,8
88951000000102,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census,8
88961000000104,Commonwealth of (Russian) Independent States - ethnic category 2001 census,8
88971000000106,Albanian - ethnic category 2001 census,8
88981000000108,Serbian - ethnic category 2001 census,8
88991000000105,Jewish - ethnic category 2001 census,8
89001000000105,Arab - ethnic category 2001 census,8
89011000000107,Iranian - ethnic category 2001 census,8
89021000000101,South and Central American - ethnic category 2001 census,8
89026003,Alacaluf,8
89031000000104,Muslim - ethnic category 2001 census,8
90027003,Arabs,8
90348007,Ghashgai,8
90822005,Gambians,8
91066000,Tatars,8
91191002,Oraons,8
91488008,New Britons,8
9158000,Liberians,8
92381000000106,Ethnic category - 2001 census,8
92391000000108,British or mixed British - ethnic category 2001 census,8
92401000000106,Irish - ethnic category 2001 census,8
92411000000108,Other White background - ethnic category 2001 census,8
92421000000102,White and Black Caribbean - ethnic category 2001 census,8
92431000000100,White and Black African - ethnic category 2001 census,8
92441000000109,White and Asian - ethnic category 2001 census,8
92451000000107,Other Mixed background - ethnic category 2001 census,8
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census,8
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census,8
92481000000101,Other Asian background - ethnic category 2001 census,8
92491000000104,African - ethnic category 2001 census,8
92501000000105,Other Black background - ethnic category 2001 census,8
92511000000107,Chinese - ethnic category 2001 census,8
92521000000101,Other - ethnic category 2001 census,8
92531000000104,Ethnic category not stated - 2001 census,8
92541000000108,Scottish - ethnic category 2001 census,8
