Code,Ethnicity
154179001,Pakistani
186002003,Pakistani
81035008,Pakistani (Urduspeakers)
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census
976811000000108,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census
977711000000100,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census
978071000000106,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census"
978081000000108,Asian or Asian Scottish or Asian British: Pakistani Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census
976821000000102,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census
977721000000106,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census
