Code,Description
9SA6.,E Afric Asian &/or Indo-Carib (NMO)
9SA8.,Other Asian (NMO)
9T1B.,South East Asian
9T1E.,Other Asian
XE2Ny,E Afric Asian/Indo-Carib (NMO)
XM1SD,East African Asian (NMO)
XM1SE,Indo-Caribbean (NMO)
XaFwz,Asian - ethnic group
XaFx0,Other Asian ethnic group
XaJR5,Other Asian background - ethnic category 2001 census
XaJRO,Punjabi - ethnic category 2001 census
XaJRP,Kashmiri - ethnic category 2001 census
XaJRQ,East African Asian - ethnic category 2001 census
XaJRR,Sri Lankan - ethnic category 2001 census
XaJRS,Tamil - ethnic category 2001 census
XaJRT,Sinhalese - ethnic category 2001 census
XaJRU,British Asian - ethnic category 2001 census
XaJRV,Caribbean Asian - ethnic category 2001 census
XaJRW,Other Asian or Asian unspecified ethnic category 2001 census
XaW95,Nepali
Xactk,Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census
Xacul,Asian/Asian British: other Asian - NI ethnic cat 2011 census
XacvG,Asian: other Asian group - Scotland ethnic cat 2011 census
