Code,Ethnicity
154162007,White Irish
154191005,Irish (NMO)
185986006,White Irish
186014006,Irish (NMO)
315237009,White Irish
494161000000100,White Irish - ethnic category 2001 census
92401000000106,Irish - ethnic category 2001 census
976651000000108,White: Irish - England and Wales ethnic category 2011 census
977951000000104,White: Irish - Scotland ethnic category 2011 census
976661000000106,White: Irish - England and Wales ethnic category 2011 census
494171000000107,White Irish - ethnic category 2001 census
494181000000109,White Irish - ethnic category 2001 census
977961000000101,White: Irish - Scotland ethnic category 2011 census
